,False,True,accuracy,macro avg,weighted avg
precision,0.9973070017953322,0.05738880918220947,0.7733333333333333,0.5273479054887709,0.9825253823559462
recall,0.771795762417506,0.8695652173913043,0.7733333333333333,0.8206804899044051,0.7733333333333333
f1-score,0.8701781868024281,0.10767160161507403,0.7733333333333333,0.48892489420875107,0.8581866302490543
support,2879.0,46.0,0.7733333333333333,2925.0,2925.0
