,class_1_logistic
OLTV,-0.11096836984527167
DTI,-0.04527205377525683
CSCORE_B,-0.16950380970824352
UNRATE,0.14012328967455467
CURR_HPI,0.34351840136101075
MORTGAGE30US,0.03470132402606142
MTM_LTV,-0.30744289183576257
INT_DIFF,0.17042865113017688
LOG_OUPB,-0.9295080100650155
PURPOSE_P,-0.17510260236181793
PURPOSE_R,-0.11124910746999157
PURPOSE_U,-0.03078131391998012
PROP_CP,0.0
PROP_MH,0.05537837561302414
PROP_PU,-0.14662812209766043
PROP_SF,0.1677934919311007
