,False,True,accuracy,macro avg,weighted avg
precision,0.7940586109995985,0.6976744186046512,0.7798699075659021,0.7458665148021248,0.7672320624144933
recall,0.9383301707779886,0.36900369003690037,0.7798699075659021,0.6536669304074445,0.7798699075659021
f1-score,0.8601869971732985,0.48270313757039424,0.7798699075659021,0.6714450673718464,0.7551221639459239
support,2108.0,813.0,0.7798699075659021,2921.0,2921.0
