,False,True,accuracy,macro avg,weighted avg
precision,0.7777777777777778,0.6403061224489796,0.7593289969188634,0.7090419501133787,0.7395153827821211
recall,0.933111954459203,0.3087330873308733,0.7593289969188634,0.6209225208950382,0.7593289969188634
f1-score,0.8483933577744233,0.416597510373444,0.7593289969188634,0.6324954340739336,0.7282119048689129
support,2108.0,813.0,0.7593289969188634,2921.0,2921.0
