,class_0_random_forest
OLTV,0.11076179583983464
DTI,0.04313643810953747
CSCORE_B,0.053786132099699846
UNRATE,0.11268285899347796
CURR_HPI,0.14597297350676197
MORTGAGE30US,0.09905914712278302
MTM_LTV,0.15364047529795424
INT_DIFF,0.08052352444173204
LOG_OUPB,0.12278326435984545
PURPOSE_P,0.03277841854345352
PURPOSE_R,0.0062661203635269854
PURPOSE_U,0.0010501358316045725
PROP_CP,0.0
PROP_MH,0.014587890961029852
PROP_PU,0.015762540259217965
PROP_SF,0.007208284269540652
