,class_1_svc
OLTV,-0.07575544921419117
DTI,-0.05017269747694942
CSCORE_B,-0.05467897565033431
UNRATE,0.03809204877572868
CURR_HPI,0.16943381669557306
MORTGAGE30US,-0.008725316473095567
MTM_LTV,-0.12107038089233976
INT_DIFF,0.06124098102132993
LOG_OUPB,-0.3774582567808144
PURPOSE_P,-0.0768145657626926
PURPOSE_R,-0.07295863268243452
PURPOSE_U,-0.02146584343597398
PROP_CP,0.0
PROP_MH,0.026898797574147554
PROP_PU,-0.06211504429616279
PROP_SF,0.0842115185270443
