,class_1_random_forest
OLTV,0.05528895006780842
DTI,0.04337661696513038
CSCORE_B,0.0735559933729595
UNRATE,0.037676968105244325
CURR_HPI,0.052492600189172386
MORTGAGE30US,0.031987925839911606
MTM_LTV,0.3406593757332531
INT_DIFF,0.062346618237885267
LOG_OUPB,0.2827014474629605
PURPOSE_P,0.008573456228783754
PURPOSE_R,0.0028737515276070534
PURPOSE_U,3.922484326327214e-07
PROP_CP,0.0
PROP_MH,0.004010297247244915
PROP_PU,0.0019205541612170834
PROP_SF,0.0025350526123891493
