,reg_linear
OLTV,-0.24464554144121015
DTI,0.02248743685668643
CSCORE_B,-0.0005410281170017892
UNRATE,0.2859861050961067
CURR_HPI,0.21098260827733328
MORTGAGE30US,0.09571031421192672
MTM_LTV,0.12071449664148562
INT_DIFF,0.2243466955888027
LOG_OUPB,-0.5143367630106683
PURPOSE_P,-0.24096973363907387
PURPOSE_R,-0.09639448152229034
PURPOSE_U,0.006999716355134947
PROP_CP,-5.551115123125783e-17
PROP_MH,0.15936137633261965
PROP_PU,-0.09055671601418046
PROP_SF,0.09688681577791866
