,OLTV,DTI,CSCORE_B,PURPOSE,PROP,LOSS_GIVEN_DEFAULT,UNRATE,CURR_HPI,MORTGAGE30US,MTM_LTV,INT_DIFF,LOG_OUPB
34,80,29.0,665.0,P,SF,0.4109980774244341,11.2,333.59333333333336,5.15,50.28475453146545,3.225,10.985292722887856
35,90,37.0,669.0,R,SF,0.0,4.4,246.88,7.07,83.95437411517968,0.5549999999999997,11.589886506106357
36,80,46.0,796.0,P,PU,0.0,3.4,233.06,8.15,79.76887210732572,-0.2750000000000003,11.542484267211773
37,97,49.0,671.0,P,SF,0.3008123189383402,4.8,248.33333333333331,7.03,89.9995637935643,1.97,11.211820372186306
39,95,56.0,734.0,P,SF,0.3604417031230718,7.8,299.88666666666666,3.91,59.37441765707696,3.965,11.719939634354555
40,95,21.0,640.0,P,SF,0.0,5.2,319.62666666666667,6.63,63.8426646293317,1.62,10.87804719253426
42,95,42.0,671.0,P,SF,0.0585734402043889,4.1,243.39333333333332,7.73,90.04896166366512,0.3949999999999996,11.289781913656018
43,80,32.0,660.0,C,SF,0.0,9.6,296.61,3.87,38.873244048863256,4.88,10.714417768752456
44,90,36.0,637.0,P,SF,0.0,3.5,235.98,8.2,88.30241322654463,0.6750000000000007,11.407564949312402
45,64,31.0,660.0,R,SF,0.5892845174381991,11.1,316.58666666666664,4.71,21.534184588200056,4.04,10.203592144986466
46,90,39.0,645.0,R,SF,0.0614619263966468,7.0,257.15,6.78,79.70389866826932,1.0949999999999998,12.138863895836725
47,95,37.0,760.0,P,SF,0.3438555359356672,5.3,306.54,6.26,67.67517866787973,1.99,11.407564949312402
48,71,23.0,621.0,C,SF,0.0,6.0,274.42,5.52,49.90387834357716,2.7300000000000004,10.714417768752456
49,95,50.0,605.0,P,PU,0.0,7.2,255.61,6.8,85.67528250922038,2.325,11.608235644774552
50,95,45.0,722.0,P,SF,0.0,7.2,255.61,6.8,84.60753223910552,0.8250000000000002,12.061046873479915
51,49,42.0,591.0,P,SF,0.0,6.8,264.0,5.88,38.302619300084174,1.995,11.225243392518447
52,53,33.0,570.0,C,SF,0.0,5.7,287.78,5.63,39.75677620174924,2.62,10.915088464214607
53,80,45.0,712.0,C,SF,0.300136443563331,5.6,294.7266666666667,5.62,60.10755367459114,3.88,11.156250521031495
54,85,36.0,649.0,R,SF,0.0,5.9,275.38666666666666,6.12,68.6433137421519,1.88,11.211820372186306
55,90,40.0,740.0,R,SF,0.2602246559153411,4.5,355.25,3.94,48.932640471655326,3.685,11.302204433654575
56,95,33.0,635.0,P,PU,0.0,6.9,266.04,5.26,79.05365823060494,2.49,11.472103470449973
57,70,31.0,659.0,C,SF,0.0,5.7,277.32,6.21,56.88042152507333,2.415,11.350406535472453
58,90,44.0,597.0,P,PU,0.0,4.8,248.33333333333331,7.03,84.31002671706962,1.4699999999999998,12.01974306733868
59,85,47.0,630.0,R,MH,0.4066340215537503,5.7,277.32,6.21,67.55044079440633,1.665,11.156250521031495
60,80,32.0,737.0,C,SF,0.6919530194623837,6.9,266.48,5.4,67.30899559132568,2.85,11.127262984158243
61,97,51.0,787.0,P,SF,0.0585310372796882,5.2,249.72,7.14,89.34368598613726,0.9850000000000004,11.744037185933616
62,85,64.0,729.0,R,SF,0.4477629263370639,5.1,326.91333333333336,6.11,55.73221662841324,1.7649999999999997,10.596634733096073
63,60,16.0,669.0,C,SF,0.0,7.1,254.37,6.84,50.702059278075644,1.035,11.26446410567173
64,95,58.0,802.0,P,SF,0.0,6.9,266.48,5.4,80.5637384287352,2.725,11.451050061252142
65,97,31.0,727.0,P,SF,0.0153258484370858,5.7,280.46,5.77,84.9782789709031,2.6050000000000004,11.26446410567173
66,72,16.0,687.0,R,SF,0.0,11.2,333.59333333333336,5.15,44.30593535533712,2.975,11.05089000537367
67,95,56.0,634.0,P,MH,0.3589571911807225,7.2,254.89,7.14,86.33471211372229,1.9850000000000003,11.512925464970229
68,20,22.0,614.0,P,SF,0.0,5.8,317.81,3.7,7.224141914857254,5.3,9.740968623038354
69,90,60.0,681.0,P,CO,0.0,5.2,249.72,7.14,82.38910153441697,0.6100000000000003,12.14950229404178
70,89,40.0,637.0,C,SF,0.0,7.2,255.61,6.8,83.66964359816683,1.2000000000000002,11.728036844587175
71,90,20.0,696.0,R,SF,0.2671946146883944,6.9,266.04,5.26,76.64067315075383,2.615,11.635143097694478
73,95,34.0,610.0,P,SF,0.0,4.8,248.33333333333331,7.03,88.50478382193081,1.5949999999999998,11.77528972943772
74,97,33.0,666.0,P,SF,0.0,7.2,255.61,6.8,86.39914698999046,1.95,11.06663836234181
75,80,57.0,605.0,P,SF,0.0,7.1,254.37,6.84,72.73902840114792,1.535,11.918390573078392
76,95,30.0,640.0,P,SF,0.2527430772933247,10.4,312.59,4.27,60.19762121445776,3.73,11.26446410567173
77,95,29.0,732.0,P,SF,0.0211576933948847,7.1,255.97,7.13,83.91266446028229,0.4950000000000001,11.925035115797062
78,95,40.0,661.0,P,SF,0.0,9.1,298.46,3.53,59.68109398767598,4.095000000000001,11.870599909242044
79,80,43.0,682.0,P,SF,0.0,4.8,248.33333333333331,7.03,74.98872744247846,1.5949999999999998,12.196022309676673
80,95,39.0,708.0,P,SF,0.0,6.7,261.25,6.01,82.32152601050502,1.6150000000000002,11.918390573078392
81,90,30.0,792.0,R,MH,0.9195398997461954,10.2,299.91,4.71,58.90563694027126,2.915,11.211820372186306
82,78,33.0,636.0,C,SF,0.0,4.8,248.33333333333331,7.03,71.47804042492808,0.8449999999999998,11.156250521031495
83,90,43.0,669.0,P,SF,0.0,6.7,261.25,6.01,77.14818055853507,1.6150000000000002,11.79810440720389
84,80,50.0,582.0,P,SF,0.1872531597167556,6.7,268.0733333333333,6.44,66.68348097470056,1.0599999999999996,12.337100907936577
85,97,40.0,745.0,P,SF,0.3548763890632627,11.4,331.68,4.78,61.01436184565678,4.095,10.668955394675699
86,93,51.0,630.0,P,SF,0.236971896014166,11.2,313.9633333333333,5.01,59.1624305284212,2.365,11.314474526246391
87,87,48.0,605.0,R,MH,0.4265092523159399,7.1,255.97,7.13,71.95123537521975,0.8700000000000001,11.289781913656018
88,80,46.0,684.0,C,SF,0.4996671335490082,5.8,276.3533333333333,6.28,62.85326839859741,1.2199999999999998,11.350406535472453
89,80,36.0,721.0,P,PU,0.11436056536514,6.2,252.56666666666663,6.89,72.30458800719236,0.7350000000000003,11.856515169360305
90,64,50.0,668.0,P,SF,0.0,5.2,308.2,6.21,44.89119956821589,1.79,10.968198289528557
