,ORIG_RATE,ORIG_UPB,ORIG_DATE,OLTV,DTI,CSCORE_B,PURPOSE,PROP,NO_UNITS,OCC_STAT,LAST_UPB,LAST_PAID_INSTALLMENT_DATE,LOSS_GIVEN_DEFAULT
1492,7.625,55000.0,2001-07-01,74,17.0,654.0,R,SF,1,I,49232.0,2009-09-01,0.737544806747263
1493,6.75,212000.0,2001-08-01,80,38.0,644.0,R,SF,1,P,203609.36,2005-02-01,0.0
1494,7.5,44000.0,2001-06-01,70,56.0,539.0,C,SF,1,P,43181.23,2002-05-01,0.4915149468831175
1495,7.375,64000.0,2001-06-01,86,46.0,654.0,C,SF,1,P,60596.56,2004-09-01,0.0583023653015524
1496,7.5,60000.0,2001-07-01,89,27.0,741.0,C,SF,1,P,57450.23,2004-11-01,0.2641497225451731
1497,7.625,48000.0,2001-07-01,72,17.0,654.0,R,SF,1,I,44086.11,2008-10-01,1.0
1498,7.0,64000.0,2001-06-01,97,40.0,643.0,P,SF,1,P,62898.04,2003-04-01,0.0809423915170332
1499,6.5,56000.0,2001-05-01,85,50.0,648.0,C,MH,1,P,43200.6,2006-03-01,0.6802781050321746
1500,7.25,147000.0,2001-07-01,90,30.0,689.0,C,SF,1,P,145205.2,2002-11-01,0.0039000567946246
1501,7.25,139000.0,2001-08-01,88,22.0,658.0,R,SF,1,P,137518.42,2002-10-01,0.0
1502,7.0,100000.0,2001-08-01,95,40.0,710.0,R,SF,1,P,94045.2,2006-07-01,0.2135551653559882
1503,7.5,101000.0,2001-08-01,74,29.0,614.0,C,PU,1,P,91993.71,2008-11-01,0.1159859292669887
1504,7.0,63000.0,2001-07-01,49,29.0,519.0,C,SF,1,P,58245.98,2012-02-01,0.0
1505,7.25,106000.0,2001-07-01,80,39.0,776.0,R,SF,1,P,98369.72,2007-05-01,0.0
1506,7.125,150000.0,2001-06-01,95,39.0,636.0,P,SF,1,P,144989.2,2004-09-01,0.0
1507,7.875,103000.0,2001-07-01,80,29.0,670.0,R,SF,1,I,101606.5,2003-05-01,0.0
1508,7.625,65000.0,2001-07-01,73,14.0,654.0,R,SF,1,I,58843.34,2009-07-01,1.0
1509,7.5,104000.0,2001-07-01,95,15.0,608.0,R,SF,1,P,102716.58,2002-04-01,0.0205115712440527
1510,6.875,209000.0,2001-06-01,80,25.0,773.0,P,SF,1,P,201333.75,2004-11-01,0.0
1511,8.0,63000.0,2001-08-01,88,31.0,568.0,R,MH,1,P,58407.26,2008-07-01,0.5052938792308909
1512,7.875,88000.0,2001-07-01,79,45.0,574.0,R,CO,1,P,87491.84,2002-04-01,0.1505573251426294
1513,7.25,57000.0,2001-04-01,88,38.0,734.0,C,MH,1,P,41899.51,2016-09-01,1.0
1514,7.5,99000.0,2001-08-01,60,,556.0,C,SF,1,P,96763.68,2002-10-01,0.5301036784292155
1515,6.875,74000.0,2001-06-01,90,39.0,767.0,R,SF,1,P,68342.92,2006-08-01,0.4468350928663516
1516,7.5,84000.0,2001-08-01,80,46.0,599.0,R,SF,1,P,77586.06,2007-12-01,0.0506257564180745
1517,7.5,44000.0,2001-07-01,68,27.0,628.0,C,MH,1,P,37481.33,2012-05-01,1.0
1518,7.25,71000.0,2001-08-01,78,26.0,663.0,C,SF,1,P,65688.89,2006-02-01,0.3180366326093476
1519,7.5,70000.0,2001-08-01,83,25.0,667.0,R,SF,1,P,66684.86,2005-08-01,0.3774463693228089
1520,7.375,77000.0,2001-06-01,71,46.0,,R,MH,1,P,65598.38,2011-12-01,0.5890506146907839
1521,7.625,92000.0,2001-06-01,74,,559.0,R,SF,1,P,95583.01,2004-11-01,0.0530146670055273
1522,7.125,80000.0,2001-05-01,77,20.0,609.0,R,SF,1,P,76455.22,2005-06-01,0.6476088820069101
1523,7.375,139000.0,2001-07-01,95,45.0,647.0,P,SF,1,P,124715.29,2009-06-01,0.1050628701582089
1524,7.5,74000.0,2001-07-01,94,36.0,718.0,R,SF,1,P,72646.05,2003-07-01,0.1830781388673147
1525,6.625,118000.0,2001-07-01,90,32.0,659.0,P,PU,1,P,107270.07,2007-12-01,0.1536071209005735
1526,8.0,70000.0,2001-06-01,85,2.0,638.0,C,SF,1,P,69167.98,2002-06-01,0.0
1527,7.0,254000.0,2001-06-01,95,41.0,693.0,P,PU,1,P,248686.28,2003-05-01,0.0
1528,7.125,227000.0,2001-07-01,83,14.0,647.0,R,SF,1,P,225135.44,2002-06-01,0.0
1529,7.875,98000.0,2001-08-01,80,35.0,511.0,C,SF,1,P,94198.41,2002-11-01,0.0
1530,8.0,115000.0,2001-07-01,80,11.0,,C,SF,1,I,112921.46,2003-11-01,0.0
1531,8.0,103000.0,2001-07-01,80,22.0,596.0,C,SF,1,I,101142.93,2003-11-01,0.00015336738232828018
1532,8.0,62000.0,2001-07-01,80,29.0,633.0,C,SF,1,I,61459.56,2003-05-01,0.0
1533,7.5,129000.0,2001-07-01,90,45.0,671.0,R,SF,1,P,125997.18,2004-02-01,0.0
