,ORIG_RATE,ORIG_UPB,ORIG_DATE,OLTV,DTI,CSCORE_B,PURPOSE,PROP,NO_UNITS,OCC_STAT,LAST_UPB,LAST_PAID_INSTALLMENT_DATE,LOSS_GIVEN_DEFAULT
0,8.0,68000.0,1999-12-01,82,17.0,584.0,R,SF,1,P,66727.36,2002-08-01,0.0
1,8.25,81000.0,2000-01-01,97,33.0,670.0,P,SF,1,P,81193.29,2000-05-01,0.0
2,7.875,72000.0,1999-12-01,78,3.0,718.0,C,SF,1,P,68384.97,2004-06-01,0.0
3,9.125,103000.0,1999-12-01,97,36.0,640.0,P,MH,1,P,100694.32,2003-06-01,0.0492370025486325
4,9.0,61000.0,2000-03-01,75,45.0,630.0,C,PU,1,P,60261.78,2001-05-01,0.7566583816338818
5,8.5,48000.0,1999-11-01,60,26.0,572.0,R,SF,1,P,44696.72,2002-10-01,0.0
6,8.125,40000.0,2000-02-01,66,20.0,,P,PU,1,P,29548.42,2006-02-01,0.0
7,8.25,74000.0,1999-12-01,80,30.0,656.0,C,SF,1,P,72099.58,2002-06-01,0.1547983529759443
8,7.5,77000.0,1999-11-01,90,34.0,711.0,C,SF,1,P,66813.83,2003-01-01,0.3362184721343628
9,8.125,123000.0,1999-12-01,97,10.0,770.0,P,SF,1,P,121338.57,2001-10-01,0.1022984070433965
10,7.625,121000.0,1999-12-01,88,54.0,749.0,P,SF,1,P,115204.31,2004-08-01,0.0978929716376177
11,8.5,58000.0,2000-01-01,97,46.0,662.0,P,SF,1,P,55980.44,2004-02-01,0.2968865136473795
12,7.875,111000.0,1999-12-01,95,37.0,655.0,P,SF,1,P,107820.43,2002-08-01,0.0
13,7.625,88000.0,2000-01-01,80,44.0,631.0,R,SF,1,P,86787.29,2001-08-01,0.0
14,8.5,76000.0,2000-02-01,94,28.0,588.0,P,SF,1,P,71022.05,2006-10-01,0.0
15,7.25,60000.0,1999-12-01,75,34.0,689.0,C,SF,1,P,53032.32,2002-11-01,0.2683379035735431
16,8.875,131000.0,2000-02-01,80,41.0,710.0,C,SF,1,P,110264.13,2012-06-01,0.5754622436570807
17,8.0,91000.0,2000-01-01,90,38.0,620.0,P,SF,1,P,88503.66,2001-09-01,0.0
18,8.625,98000.0,2000-01-01,90,46.0,648.0,R,SF,1,P,95427.03,2003-06-01,0.079794642087186
19,7.5,113000.0,1999-11-01,90,52.0,672.0,R,SF,1,P,110485.01,2006-08-01,0.0
20,8.5,76000.0,1999-11-01,90,38.0,660.0,P,SF,1,P,71456.68,2005-10-01,0.1448999662300859
21,7.75,74000.0,1999-12-01,87,43.0,668.0,C,MH,1,P,66757.35,2007-02-01,0.3791355148814564
22,7.625,67000.0,1999-11-01,80,59.0,681.0,C,MH,1,P,32793.56,2009-04-01,0.0
23,8.75,90000.0,2000-02-01,97,53.0,553.0,P,SF,1,P,87898.29,2002-09-01,0.0
24,8.625,50000.0,2000-02-01,95,27.0,670.0,P,SF,1,P,52803.79,2003-09-01,0.0
25,8.0,57000.0,2000-01-01,95,35.0,679.0,R,SF,1,P,43448.59,2011-10-01,0.8182112935600343
26,8.125,72000.0,1999-12-01,90,14.0,651.0,C,SF,1,P,69140.63,2003-12-01,0.1107259925097747
27,8.375,33000.0,2000-01-01,69,37.0,634.0,P,SF,1,P,30877.57,2002-03-01,0.782973931604631
28,8.75,54000.0,2000-01-01,97,46.0,740.0,P,SF,1,P,46654.08,2010-02-01,0.5276379394419232
29,8.25,128000.0,1999-12-01,82,36.0,622.0,P,SF,1,P,129752.78,2003-06-01,0.3502934832723159
30,8.0,85000.0,2000-01-01,97,35.0,723.0,P,SF,1,P,65603.34,2012-02-01,0.3359835718406121
31,8.375,103000.0,2000-02-01,80,41.0,592.0,P,SF,1,P,96260.47,2010-12-01,0.0342648419327768
32,8.75,102000.0,1999-12-01,95,27.0,647.0,P,MH,1,P,99624.04,2002-08-01,0.0
33,8.5,169000.0,1999-07-01,87,37.0,740.0,C,SF,1,P,167463.52,2000-07-01,0.0
34,8.375,59000.0,2000-02-01,80,29.0,665.0,P,SF,1,P,52861.32,2009-03-01,0.4109980774244341
35,7.625,108000.0,1999-12-01,90,37.0,669.0,R,SF,1,P,107028.46,2001-01-01,0.0
36,7.875,103000.0,1999-12-01,80,46.0,796.0,P,PU,1,P,103000.0,2000-01-01,0.0
37,9.0,74000.0,1999-12-01,97,49.0,671.0,P,SF,1,P,73370.96,2001-03-01,0.3008123189383402
38,8.75,85000.0,2000-01-01,60,,634.0,C,SF,1,P,87230.68,2002-10-01,0.0
39,7.875,123000.0,1999-12-01,95,56.0,734.0,P,SF,1,P,99203.46,2013-06-01,0.3604417031230718
40,8.25,53000.0,1999-11-01,95,21.0,640.0,P,SF,1,P,49130.96,2006-08-01,0.0
41,8.625,73000.0,2000-02-01,97,,670.0,P,MH,1,P,75534.35,2002-02-01,0.3908620557911513
42,8.125,80000.0,2000-01-01,95,42.0,671.0,P,SF,1,P,79192.86,2000-11-01,0.0585734402043889
43,8.75,45000.0,2000-01-01,80,32.0,660.0,C,SF,1,P,27828.6,2012-02-01,0.0
44,8.875,90000.0,1999-12-01,90,36.0,637.0,P,SF,1,P,89667.81,2000-04-01,0.0
45,8.75,27000.0,1999-12-01,64,31.0,660.0,R,SF,1,P,12376.38,2009-12-01,0.5892845174381991
46,7.875,187000.0,1999-12-01,90,39.0,645.0,R,SF,1,P,183254.22,2002-05-01,0.0614619263966468
47,8.25,90000.0,1999-11-01,95,37.0,760.0,P,SF,1,P,84817.3,2005-12-01,0.3438555359356672
48,8.25,45000.0,2000-02-01,71,23.0,621.0,C,SF,1,P,37087.41,2004-04-01,0.0
49,9.125,110000.0,2000-02-01,95,50.0,605.0,P,PU,1,P,108348.96,2002-03-01,0.0
50,7.625,173000.0,1999-12-01,95,45.0,722.0,P,SF,1,P,169472.08,2002-03-01,0.0
51,7.875,75000.0,2000-02-01,49,42.0,591.0,P,SF,1,P,66133.25,2003-02-01,0.0
52,8.25,55000.0,2000-02-01,53,33.0,570.0,C,SF,1,P,50731.87,2005-02-01,0.0
53,9.5,70000.0,2000-02-01,80,45.0,712.0,C,SF,1,P,66233.67,2005-06-01,0.300136443563331
54,8.0,74000.0,1999-12-01,85,36.0,649.0,R,SF,1,P,70817.85,2004-05-01,0.0
55,7.625,81000.0,1999-12-01,90,40.0,740.0,R,SF,1,P,67323.09,2017-06-01,0.2602246559153411
56,7.75,96000.0,1999-11-01,95,33.0,635.0,P,PU,1,P,91720.31,2003-06-01,0.0
57,8.625,85000.0,2000-02-01,70,31.0,659.0,C,SF,1,P,81844.06,2004-07-01,0.0
58,8.5,166000.0,2000-02-01,90,44.0,597.0,P,PU,1,P,165006.9,2001-03-01,0.0
59,7.875,70000.0,1999-12-01,85,47.0,630.0,R,MH,1,P,66386.12,2004-07-01,0.4066340215537503
60,8.25,68000.0,1999-11-01,80,32.0,737.0,C,SF,1,P,65796.93,2003-07-01,0.6919530194623837
61,8.125,126000.0,1999-12-01,97,51.0,787.0,P,SF,1,P,124711.01,2001-05-01,0.0585310372796882
62,7.875,40000.0,1999-12-01,85,64.0,729.0,R,SF,1,P,36895.11,2006-12-01,0.4477629263370639
63,7.875,78000.0,1999-12-01,60,16.0,669.0,C,SF,1,P,72147.89,2001-12-01,0.0
64,8.125,94000.0,1999-12-01,95,58.0,802.0,P,SF,1,S,91410.75,2003-07-01,0.0
65,8.375,78000.0,2000-01-01,97,31.0,727.0,P,SF,1,P,82230.7,2004-09-01,0.0153258484370858
66,8.125,63000.0,1999-11-01,72,16.0,687.0,R,SF,1,P,55813.12,2009-03-01,0.0
67,9.125,100000.0,2000-02-01,95,56.0,634.0,P,MH,1,P,98977.6,2002-01-01,0.3589571911807225
68,9.0,17000.0,2000-03-01,20,22.0,614.0,P,SF,1,P,8304.1,2015-04-01,0.0
69,7.75,189000.0,1999-11-01,90,60.0,681.0,P,CO,1,P,186462.44,2001-05-01,0.0
70,8.0,124000.0,1999-11-01,89,40.0,637.0,C,SF,1,P,128595.69,2002-03-01,0.0
71,7.875,113000.0,2000-01-01,90,20.0,696.0,R,SF,1,P,109843.52,2003-06-01,0.2671946146883944
72,8.5,86000.0,1999-12-01,95,60.0,,P,SF,1,P,77408.8,2009-03-01,0.0
73,8.625,130000.0,2000-01-01,95,34.0,610.0,P,SF,1,P,129048.74,2001-03-01,0.0
74,8.75,64000.0,1999-11-01,97,33.0,666.0,P,SF,1,P,62884.63,2002-03-01,0.0
75,8.375,150000.0,2000-02-01,80,57.0,605.0,P,SF,1,P,148237.11,2001-12-01,0.0
76,8.0,78000.0,1999-12-01,95,30.0,640.0,P,SF,1,P,66483.55,2010-10-01,0.2527430772933247
77,7.625,151000.0,1999-11-01,95,29.0,732.0,P,SF,1,P,147339.4,2002-04-01,0.0211576933948847
78,7.625,143000.0,1999-12-01,95,40.0,661.0,P,SF,1,P,115378.3,2013-02-01,0.0
79,8.625,198000.0,2000-02-01,80,43.0,682.0,P,SF,1,P,196937.53,2001-03-01,0.0
80,7.625,150000.0,1999-12-01,95,39.0,708.0,P,SF,1,P,146125.55,2002-10-01,0.0
81,7.625,74000.0,1999-12-01,90,30.0,792.0,R,MH,1,P,62506.59,2011-05-01,0.9195398997461954
82,7.875,70000.0,1999-11-01,78,33.0,636.0,C,SF,1,P,68748.0,2001-03-01,0.0
83,7.625,133000.0,1999-12-01,90,43.0,669.0,P,SF,1,P,128168.09,2002-10-01,0.0
84,7.5,228000.0,1999-12-01,80,50.0,582.0,P,SF,1,P,219232.8,2003-09-01,0.1872531597167556
85,8.875,43000.0,1999-10-01,97,40.0,745.0,P,SF,1,P,38829.42,2009-04-01,0.3548763890632627
86,7.375,82000.0,1999-12-01,93,51.0,630.0,P,SF,1,P,70476.55,2010-02-01,0.236971896014166
87,8.0,80000.0,1999-12-01,87,48.0,605.0,R,MH,1,P,72876.39,2002-04-01,0.4265092523159399
88,7.5,85000.0,1999-12-01,80,46.0,684.0,C,SF,1,P,79416.42,2004-06-01,0.4996671335490082
89,7.625,141000.0,1999-12-01,80,36.0,721.0,P,PU,1,P,138503.2,2001-09-01,0.11436056536514
90,8.0,58000.0,2000-01-01,64,50.0,668.0,P,SF,1,P,53798.99,2006-01-01,0.0
91,8.75,68000.0,2000-01-01,90,61.0,569.0,P,SF,1,I,62156.37,2007-09-01,0.4227527854238093
92,8.5,82000.0,1999-12-01,95,46.0,629.0,P,MH,1,P,82418.41,2008-07-01,0.3335289621825475
93,7.75,41000.0,1999-12-01,64,42.0,715.0,C,SF,1,I,22884.37,2008-10-01,0.6925723024816424
94,7.625,107000.0,1999-11-01,83,46.0,755.0,C,SF,1,P,102144.4,2001-02-01,0.3882320758304554
95,8.25,82000.0,2000-01-01,72,43.0,635.0,C,SF,1,P,71681.1,2014-02-01,0.2201563462072302
96,7.75,65000.0,1999-11-01,80,39.0,653.0,R,MH,1,P,63862.61,2001-03-01,0.2814869470357957
97,7.625,96000.0,1999-12-01,78,45.0,642.0,P,SF,1,P,89500.21,2006-01-01,0.0
98,8.75,91000.0,2000-02-01,95,35.0,561.0,P,SF,1,P,76041.72,2012-09-01,0.0
99,8.375,68000.0,2000-03-01,85,25.0,685.0,R,MH,1,P,63068.89,2002-12-01,0.4177450043931376
100,7.625,232000.0,1999-12-01,95,57.0,621.0,P,SF,1,P,230724.97,2006-09-01,0.0
101,8.75,38000.0,2000-02-01,95,31.0,,P,SF,1,P,37432.32,2001-10-01,0.6061383280908856
102,8.25,52000.0,1999-12-01,75,15.0,691.0,C,SF,1,P,42279.72,2013-04-01,0.7192779372029487
103,7.75,90000.0,1999-12-01,95,44.0,702.0,P,MH,1,P,89179.99,2001-05-01,0.0
104,8.125,170000.0,2000-03-01,80,40.0,644.0,C,SF,1,P,167765.98,2001-01-01,0.0
105,8.625,160000.0,2000-02-01,90,43.0,717.0,R,SF,1,P,156603.62,2002-12-01,0.0
106,7.75,97000.0,1999-10-01,97,38.0,719.0,P,SF,1,P,95873.15,2004-09-01,0.0
107,8.125,138000.0,2000-01-01,97,31.0,741.0,P,SF,1,P,134920.17,2002-01-01,0.0
108,9.0,44000.0,2000-02-01,90,17.0,803.0,P,SF,1,P,36915.52,2009-10-01,0.8303748568883648
109,8.25,89000.0,2000-02-01,90,38.0,610.0,P,SF,1,I,84199.3,2005-12-01,0.0
110,8.5,41000.0,1999-12-01,68,16.0,,P,MH,1,P,39065.78,2005-03-01,0.3163400504357634
111,8.75,135000.0,1999-12-01,95,39.0,524.0,P,PU,1,P,137943.28,2005-07-01,0.0
112,7.625,26000.0,1999-11-01,69,37.0,655.0,C,SF,1,P,14175.6,2012-09-01,0.0
113,8.5,139000.0,1999-11-01,80,19.0,700.0,C,SF,1,P,136800.23,2002-02-01,0.2079525151581086
114,8.0,78000.0,2000-01-01,85,20.0,673.0,R,SF,1,P,41026.48,2011-10-01,1.0
115,8.25,129000.0,2000-02-01,79,30.0,645.0,R,SF,1,P,123389.76,2010-05-01,0.0872717711842009
116,8.75,164000.0,1999-12-01,88,47.0,547.0,P,SF,1,P,165828.19,2002-08-01,0.0
117,7.75,171000.0,1999-12-01,95,28.0,656.0,P,SF,1,P,165321.88,2003-05-01,0.0
118,8.25,44000.0,2000-01-01,57,61.0,649.0,C,SF,1,P,42749.84,2003-05-01,0.3775358095122006
119,8.5,91000.0,2000-02-01,69,43.0,662.0,P,SF,1,P,89911.42,2001-08-01,0.0
120,8.375,93000.0,2000-01-01,89,31.0,607.0,R,SF,1,P,91316.9,2001-02-01,0.0
121,7.375,100000.0,1999-12-01,65,26.0,617.0,P,SF,1,P,77810.83,2003-08-01,0.0
122,8.25,143000.0,2000-02-01,75,31.0,591.0,R,SF,1,P,140099.47,2002-02-01,0.0
123,7.875,47000.0,1999-11-01,80,40.0,632.0,P,SF,1,P,26263.09,2009-06-01,0.2307433511484823
124,8.0,82000.0,1999-12-01,90,52.0,703.0,P,SF,1,P,81833.83,2000-04-01,0.0086556007887554
125,8.0,220000.0,1999-12-01,80,51.0,704.0,P,SF,1,P,217020.33,2001-07-01,0.0801502277364426
126,8.125,116000.0,2000-02-01,95,47.0,692.0,P,SF,1,P,113235.21,2002-09-01,0.0
127,9.125,43000.0,2000-03-01,85,31.0,,C,SF,1,P,38526.98,2009-08-01,1.0
128,8.25,150000.0,2000-03-01,95,44.0,624.0,P,SF,1,P,147171.38,2002-07-01,0.0
129,9.875,154000.0,2000-04-01,95,32.0,672.0,P,SF,1,P,151047.33,2003-02-01,0.0
130,7.75,66000.0,2000-02-01,80,36.0,556.0,R,SF,1,P,65212.45,2000-07-01,0.2425898919698779
131,7.875,80000.0,2000-05-01,84,60.0,722.0,R,MH,1,P,46338.0,2021-12-01,1.0
132,8.5,37000.0,2000-04-01,95,45.0,680.0,P,SF,1,P,33388.93,2009-01-01,0.8696429962927458
133,7.625,41000.0,2000-03-01,80,37.0,587.0,R,SF,1,P,37033.88,2004-01-01,1.0
134,7.625,69000.0,2000-02-01,89,36.0,546.0,R,SF,1,P,64394.12,2002-01-01,0.1252406493186641
135,8.5,75000.0,2000-04-01,97,45.0,675.0,P,SF,1,P,63849.96,2011-05-01,0.2786706732519291
136,8.25,103000.0,2000-04-01,95,42.0,648.0,P,SF,1,P,100649.14,2002-05-01,0.0
137,9.25,74000.0,2000-02-01,72,33.0,642.0,C,SF,1,P,66745.64,2009-07-01,0.9241157908604049
138,8.5,110000.0,2000-03-01,95,42.0,711.0,P,SF,1,P,93863.09,2011-12-01,0.0714997370533125
139,8.5,99000.0,2000-03-01,80,38.0,699.0,R,SF,1,P,97690.42,2001-05-01,0.0
140,8.5,107000.0,2000-03-01,97,34.0,695.0,P,SF,1,P,102666.56,2003-12-01,0.162168165374559
141,8.375,146000.0,2000-03-01,90,62.0,704.0,P,SF,1,P,142934.05,2001-11-01,0.0
142,8.5,119000.0,2000-03-01,95,43.0,696.0,P,SF,1,P,115892.9,2003-02-01,0.0
143,8.625,64000.0,2000-03-01,97,51.0,666.0,P,SF,1,P,61347.84,2004-09-01,0.1757405880176606
144,8.25,85000.0,2000-03-01,95,48.0,632.0,R,SF,1,P,78669.86,2007-05-01,0.1798696647838644
145,8.375,104000.0,2000-03-01,80,28.0,643.0,P,MH,1,P,101469.63,2003-01-01,0.0
146,8.125,86000.0,2000-03-01,97,35.0,612.0,P,SF,1,P,85887.1,2000-06-01,0.0
147,9.125,107000.0,2000-03-01,70,34.0,640.0,C,SF,1,P,105896.1,2001-10-01,0.0
148,9.0,73000.0,2000-03-01,90,51.0,638.0,R,MH,1,P,68119.62,2010-06-01,0.3205473059597255
149,7.75,150000.0,2000-03-01,90,42.0,603.0,P,PU,1,P,143868.77,2004-07-01,0.0
150,8.75,81000.0,2000-03-01,90,42.0,668.0,R,MH,1,P,76843.05,2008-12-01,0.0
151,9.5,80000.0,2000-03-01,97,40.0,645.0,P,MH,1,P,77672.98,2004-03-01,0.2532116725034377
152,8.375,125000.0,2000-05-01,69,51.0,634.0,C,SF,1,P,110575.08,2005-04-01,0.1266642179980938
153,8.875,106000.0,2000-03-01,80,40.0,569.0,R,SF,1,P,104303.35,2002-06-01,0.0
154,8.75,157000.0,2000-03-01,95,32.0,691.0,P,SF,1,P,156009.48,2000-11-01,0.0
155,8.75,80000.0,2000-06-01,90,37.0,783.0,P,SF,1,P,72430.08,2009-03-01,0.211610335398903
156,8.25,78000.0,2000-04-01,95,47.0,656.0,P,CO,1,P,77079.19,2001-11-01,0.0
157,8.25,76000.0,2000-04-01,80,63.0,667.0,P,PU,1,P,71556.1,2006-08-01,0.0
158,8.875,91000.0,2000-05-01,75,40.0,590.0,C,SF,1,P,82916.73,2008-10-01,0.4289692342598183
159,8.875,61000.0,2000-05-01,90,25.0,610.0,P,MH,1,P,64293.95,2003-10-01,0.4821628311982423
160,9.875,168000.0,2000-05-01,70,26.0,586.0,C,SF,1,P,165441.92,2002-10-01,0.0
161,8.5,99000.0,2000-05-01,90,26.0,645.0,P,SF,1,S,95462.7,2004-06-01,0.0
162,8.375,243000.0,2000-04-01,80,45.0,680.0,P,SF,1,P,237378.66,2003-01-01,0.025967520091186
163,8.375,66000.0,2000-02-01,95,58.0,712.0,P,SF,1,P,58500.0,2009-08-01,0.2534486511752137
164,8.75,92000.0,2000-02-01,97,41.0,601.0,P,SF,1,P,76804.83,2013-02-01,0.3034971181010958
165,7.75,90000.0,2000-02-01,95,49.0,685.0,P,SF,1,P,83801.99,2002-01-01,0.0
166,8.125,35000.0,2000-03-01,51,12.0,605.0,C,SF,1,P,28597.26,2004-03-01,0.0
167,8.25,116000.0,2000-04-01,95,17.0,,P,SF,1,P,108389.43,2006-09-01,0.0
168,8.5,66000.0,2000-04-01,90,42.0,644.0,R,SF,1,P,63536.27,2004-05-01,0.0
169,8.625,159000.0,2000-05-01,74,16.0,657.0,R,SF,1,P,154242.75,2002-11-01,0.0
170,8.625,89000.0,2000-03-01,75,51.0,654.0,R,SF,1,P,84222.54,2005-09-01,0.0
171,8.875,82000.0,2000-03-01,85,26.0,633.0,C,SF,1,P,58722.5,2013-05-01,0.6746220444942314
172,8.5,98000.0,2000-05-01,89,42.0,560.0,R,MH,1,P,92941.44,2004-01-01,0.0672322803685295
173,7.875,150000.0,2000-03-01,80,17.0,568.0,P,PU,1,P,142539.08,2001-06-01,0.0
174,8.5,65000.0,2000-04-01,85,39.0,745.0,C,SF,1,P,63847.97,2001-06-01,0.0
175,8.0,97000.0,2000-04-01,95,33.0,667.0,P,SF,1,P,96448.19,2001-05-01,0.0
176,8.875,75000.0,2000-04-01,84,41.0,621.0,R,MH,1,P,78300.29,2002-03-01,0.3919642812754356
177,8.25,91000.0,2000-04-01,68,64.0,620.0,C,SF,1,P,85516.54,2006-06-01,0.0
178,8.75,44000.0,2000-03-01,55,36.0,612.0,C,SF,1,P,43371.92,2001-11-01,0.4691708648812613
179,8.5,44000.0,2000-04-01,74,35.0,737.0,C,SF,1,P,31533.28,2017-08-01,0.0
180,7.5,79000.0,2000-03-01,95,29.0,683.0,P,SF,1,P,68338.76,2002-11-01,0.0
181,7.875,135000.0,2000-02-01,95,28.0,705.0,P,SF,1,P,115679.55,2009-11-01,0.0130177892851493
182,8.375,51000.0,2000-04-01,90,35.0,639.0,P,SF,1,P,48298.3,2005-07-01,0.0887458402888057
183,8.25,91000.0,2000-03-01,76,43.0,641.0,P,SF,1,P,89292.33,2001-11-01,0.0
184,8.75,87000.0,2000-04-01,88,43.0,791.0,P,SF,1,P,87049.88,2000-06-01,0.0
185,8.125,183000.0,2000-04-01,95,36.0,746.0,P,PU,1,P,178364.77,2002-08-01,0.0
186,9.5,88000.0,2000-03-01,95,53.0,649.0,R,SF,1,P,87140.6,2001-08-01,0.0
187,8.125,113000.0,2000-04-01,95,34.0,743.0,P,SF,1,P,109180.25,2003-09-01,0.0
188,8.5,98000.0,2000-05-01,97,48.0,687.0,P,CO,1,P,85927.66,2010-12-01,0.1408497841570943
189,8.375,140000.0,2000-05-01,76,56.0,624.0,R,SF,1,P,132847.9,2005-10-01,0.0
190,8.875,45000.0,2000-04-01,70,59.0,626.0,C,SF,1,S,36693.57,2005-01-01,0.5581495411951287
191,8.75,136000.0,2000-02-01,88,40.0,668.0,P,SF,1,P,135427.83,2000-09-01,0.0
192,8.125,171000.0,2000-03-01,90,40.0,591.0,P,PU,1,P,168792.55,2001-09-01,0.0
193,8.375,52000.0,2000-03-01,80,24.0,608.0,P,SF,1,P,50948.86,2002-09-01,0.5869136647670903
194,8.25,76000.0,2000-04-01,95,43.0,679.0,P,SF,1,P,74742.78,2002-03-01,0.0
195,9.625,64000.0,2000-05-01,95,21.0,630.0,P,SF,1,P,64063.31,2000-08-01,0.0
196,8.25,115000.0,2000-03-01,94,41.0,598.0,R,SF,1,P,119274.75,2001-08-01,0.0934976104278147
197,8.25,65000.0,2000-03-01,85,34.0,669.0,C,SF,1,P,63039.97,2003-01-01,0.0426666271951806
198,9.25,59000.0,2000-02-01,90,19.0,697.0,R,SF,1,I,57848.18,2003-04-01,0.0136554827243781
199,9.0,125000.0,2000-04-01,56,57.0,623.0,P,SF,1,P,137912.52,2006-05-01,0.1140225304789196
200,8.375,76000.0,2000-04-01,85,28.0,638.0,C,MH,1,P,77611.54,2014-01-01,0.6887299238849993
201,8.5,41000.0,2000-03-01,95,46.0,752.0,P,SF,1,P,33314.89,2014-03-01,1.0
202,8.625,78000.0,2000-04-01,94,35.0,571.0,R,SF,1,P,76464.21,2002-11-01,0.0548768506347281
203,8.25,65000.0,2000-04-01,75,64.0,675.0,C,SF,1,P,64594.97,2001-08-01,0.1279737111878391
204,8.25,99000.0,2000-03-01,95,38.0,698.0,R,SF,1,P,91494.91,2006-04-01,0.1360299709876836
205,10.5,29000.0,2000-03-01,75,15.0,628.0,C,SF,1,P,29047.71,2001-01-01,0.0
206,9.5,85000.0,2000-03-01,97,39.0,639.0,P,MH,1,P,81153.14,2006-04-01,0.3577503438474057
207,8.25,102000.0,2000-04-01,90,32.0,678.0,P,SF,1,P,98858.23,2003-06-01,0.1746589927787212
208,8.625,56000.0,2000-04-01,87,15.0,736.0,R,MH,1,P,54839.86,2003-09-01,0.1306797317672965
209,8.75,162000.0,2000-05-01,95,41.0,706.0,P,SF,1,P,158625.31,2002-10-01,0.0
210,8.375,137000.0,2000-04-01,95,30.0,623.0,P,SF,1,P,141490.31,2002-02-01,0.0
211,9.125,173000.0,2000-03-01,74,35.0,654.0,C,SF,1,P,156285.97,2009-08-01,0.6620782562854031
212,8.75,70000.0,2000-03-01,74,42.0,617.0,R,SF,1,P,79749.63,2004-04-01,0.8710539197231805
213,7.5,151000.0,2000-05-01,95,58.0,740.0,P,CO,1,P,145323.67,2003-12-01,0.0
214,8.75,105000.0,2000-05-01,95,46.0,657.0,P,SF,1,P,104692.0,2001-06-01,0.0
215,9.375,90000.0,2000-03-01,95,34.0,633.0,P,MH,1,P,88851.19,2001-05-01,0.2418053403373195
216,9.125,55000.0,2000-03-01,88,43.0,669.0,R,SF,1,P,49845.92,2017-01-01,0.4876295709411094
217,8.5,112000.0,2000-04-01,97,34.0,658.0,P,SF,1,P,108038.22,2004-03-01,0.1020019444917689
218,8.875,103000.0,2000-03-01,95,42.0,630.0,R,SF,1,P,100817.6,2002-08-01,0.1891780818273455
219,8.375,211000.0,2000-04-01,89,40.0,609.0,P,SF,1,P,211902.34,2010-04-01,0.0
220,8.625,135000.0,2000-03-01,78,34.0,653.0,R,SF,1,P,130638.63,2004-02-01,0.2233367056451046
221,8.5,118000.0,2000-04-01,97,52.0,717.0,P,SF,1,P,108637.31,2008-04-01,0.2320589756224409
222,8.375,115000.0,2000-02-01,80,54.0,692.0,P,CO,1,P,110101.71,2005-01-01,0.0
223,8.875,48000.0,2000-03-01,95,44.0,,P,SF,1,P,38473.07,2014-06-01,0.8389036781612463
224,8.875,81000.0,2000-02-01,85,38.0,635.0,C,MH,1,P,73241.85,2009-02-01,0.7296443431109426
225,7.875,29000.0,2000-05-01,75,17.0,629.0,C,SF,1,P,38651.85,2013-03-01,1.0
226,8.0,89000.0,2000-04-01,90,30.0,686.0,P,SF,1,P,83361.78,2006-02-01,0.0
227,8.75,40000.0,2000-04-01,71,13.0,619.0,C,SF,1,P,32762.88,2013-12-01,0.9609109832457952
228,8.125,94000.0,2000-05-01,89,56.0,693.0,R,SF,1,P,92546.54,2002-04-01,0.0
229,8.25,65000.0,2000-03-01,95,41.0,652.0,P,SF,1,P,63182.06,2002-11-01,0.305978563935639
230,8.0,158000.0,2000-05-01,80,35.0,693.0,P,SF,1,P,155923.44,2001-12-01,0.0
231,8.625,62000.0,2000-05-01,75,30.0,640.0,C,SF,1,P,58027.79,2003-03-01,0.0
232,8.375,156000.0,2000-04-01,89,48.0,701.0,R,SF,1,P,141780.19,2008-05-01,0.082002893673878
233,8.125,54000.0,2000-05-01,79,47.0,661.0,P,SF,1,P,53016.28,2002-06-01,0.2134278303584217
234,8.0,162000.0,2000-04-01,95,51.0,679.0,P,PU,1,P,155494.2,2004-06-01,0.0
235,8.75,82000.0,2000-04-01,95,51.0,636.0,R,MH,1,P,78550.49,2002-04-01,0.0415494394877179
236,9.875,54000.0,2000-03-01,72,18.0,615.0,C,MH,1,P,53773.43,2006-05-01,0.6430413462848825
237,8.625,78000.0,2000-04-01,82,27.0,650.0,R,SF,1,P,74892.16,2018-03-01,0.7005869782793231
238,8.125,138000.0,2000-04-01,90,42.0,,P,SF,1,P,136691.3,2001-08-01,0.0
239,8.5,79000.0,2000-04-01,90,54.0,666.0,R,MH,1,P,75266.83,2004-09-01,0.4163830647800868
240,8.5,60000.0,2000-05-01,80,38.0,664.0,P,SF,1,S,57823.26,2004-08-01,0.0
241,8.25,80000.0,2000-04-01,72,39.0,657.0,R,SF,1,P,77927.32,2001-08-01,0.0
242,8.0,104000.0,2000-04-01,95,57.0,703.0,R,SF,1,S,92196.39,2003-04-01,0.0793294814661094
243,8.625,198000.0,2000-04-01,90,18.0,762.0,P,SF,1,I,200097.55,2005-06-01,0.0
244,8.75,60000.0,2000-04-01,71,52.0,711.0,C,SF,1,P,56861.66,2006-03-01,0.1167130357154511
245,9.125,87000.0,1999-11-01,90,45.0,642.0,P,SF,1,S,94527.43,2002-04-01,0.1819046381399215
246,8.5,194000.0,2000-04-01,80,39.0,626.0,R,SF,1,P,192146.98,2001-08-01,0.0
247,8.875,53000.0,2000-04-01,88,36.0,692.0,R,SF,1,P,51771.4,2002-08-01,0.5201262359020025
248,7.875,128000.0,2000-04-01,80,45.0,659.0,R,SF,1,P,121286.76,2005-07-01,0.3334193831098561
249,9.25,143000.0,2000-03-01,73,37.0,639.0,C,SF,1,P,142179.89,2000-07-01,0.3696082580051261
